mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.8314166069030762,0.08858737067980496,0.06901033719380696,0.025202295682971335,,sqrt,1,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 50}",-83.38422943582727,-89.472597257196,-86.99537933586521,-86.61740200962949,2.4998941079481476,5,-34.08111119265826,-33.31235810682582,-33.13448666307422,-33.5093186541861,0.41078753057584294
1.7864956855773926,0.3195001782469904,0.11974612871805827,0.026628054856677914,,sqrt,1,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",-83.29024731823557,-88.32551258390315,-86.87617956349698,-86.16397982187857,2.1164270879449307,3,-33.34079692591757,-32.24198511872352,-32.22805339060924,-32.60361181175011,0.5212996212509866
3.2084999879201255,0.3168470636001111,0.20385106404622397,0.01858773081372614,,sqrt,1,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",-82.89089698665435,-87.84204061503723,-85.93869464163132,-85.5572107477743,2.039216071300167,1,-32.69525865433359,-31.40607671613863,-31.367493779482913,-31.822943049985046,0.6170213642669231
0.5062727133433024,0.0332915485485403,0.031556288401285805,0.003194433175550414,,sqrt,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 50}",-107.75228390152813,-110.72194797620581,-108.40467848891377,-108.95963678888256,1.2742867848685673,17,-93.76188649596476,-91.79551566790862,-92.99667110364462,-92.85135775583933,0.8093168045313835
1.0494717756907146,0.22996950832458934,0.07935571670532227,0.02108187247870742,,sqrt,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",-107.22615779295717,-110.05557461682294,-107.6046262258688,-108.29545287854963,1.254148047835481,15,-93.4157424552202,-91.47045022484629,-91.79928534707334,-92.22849267571327,0.8501782807572177
2.086017926534017,0.3782416475621758,0.16117016474405924,0.03506546065885407,,sqrt,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}",-106.90631361390888,-110.21695403294683,-107.72519107991756,-108.28281957559109,1.4079055722200233,13,-93.31826618423,-91.13691555705365,-91.72086927991333,-92.05868367373232,0.9220128571678122
0.7075687249501547,0.029926802847413145,0.04858628908793131,0.009469155222671813,,log2,1,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 50}",-83.38422943582727,-89.472597257196,-86.99537933586521,-86.61740200962949,2.4998941079481476,5,-34.08111119265826,-33.31235810682582,-33.13448666307422,-33.5093186541861,0.41078753057584294
1.9733874003092449,0.33833703496911643,0.14089695612589517,0.04492673659859256,,log2,1,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",-83.29024731823557,-88.32551258390315,-86.87617956349698,-86.16397982187857,2.1164270879449307,3,-33.34079692591757,-32.24198511872352,-32.22805339060924,-32.60361181175011,0.5212996212509866
3.048851728439331,0.25034387070585884,0.18626618385314941,0.010614710050814399,,log2,1,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 200}",-82.89089698665435,-87.84204061503723,-85.93869464163132,-85.5572107477743,2.039216071300167,1,-32.69525865433359,-31.40607671613863,-31.367493779482913,-31.822943049985046,0.6170213642669231
0.5108911196390787,0.06394920219868284,0.04916151364644369,0.008502055919977065,,log2,5,50,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 50}",-107.75228390152813,-110.72194797620581,-108.40467848891377,-108.95963678888256,1.2742867848685673,17,-93.76188649596476,-91.79551566790862,-92.99667110364462,-92.85135775583933,0.8093168045313835
1.0597354571024578,0.08083876128462922,0.08069260915120442,0.017174400820292635,,log2,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",-107.22615779295717,-110.05557461682294,-107.6046262258688,-108.29545287854963,1.254148047835481,15,-93.4157424552202,-91.47045022484629,-91.79928534707334,-92.22849267571327,0.8501782807572177
1.6415515740712483,0.15867398172969008,0.12102365493774414,0.020390313727970625,,log2,5,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 200}",-106.90631361390888,-110.21695403294683,-107.72519107991756,-108.28281957559109,1.4079055722200233,13,-93.31826618423,-91.13691555705365,-91.72086927991333,-92.05868367373232,0.9220128571678122
0.25578951835632324,0.03678126267872883,0.023944377899169922,0.008341570721907655,5,sqrt,1,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 50}",-156.32023917309218,-158.87628968844467,-153.42871034733412,-156.20841306962367,2.2253702279974807,25,-153.268156456007,-153.7548074337169,-152.17793272682076,-153.06696553884822,0.6592884038479659
0.5595571994781494,0.10558488650625496,0.03734461466471354,0.006393033916699969,5,sqrt,1,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",-157.37436671285857,-158.5361702720472,-154.14090513156737,-156.68381403882438,1.8596121747094005,29,-154.12379023124612,-153.126572421208,-153.04426571460885,-153.431542789021,0.4906448066495217
